date,open,high,low,close,volume
2023-11-01T12:03:00+05:30,2310.45,2311.5,2310.45,2310.7,3717
2023-11-01T12:04:00+05:30,2310.7,2311.3,2310.6,2311.0,2873
2023-11-01T12:05:00+05:30,2311.0,2311.3,2310.75,2311.0,3391
2023-11-01T12:06:00+05:30,2310.85,2312.0,2310.85,2312.0,2313
2023-11-01T12:07:00+05:30,2312.0,2312.5,2311.7,2311.9,1649
2023-11-01T12:08:00+05:30,2312.4,2312.8,2311.9,2312.3,2229
2023-11-01T12:09:00+05:30,2312.75,2313.15,2312.6,2312.65,2516
2023-11-01T12:10:00+05:30,2312.95,2313.15,2312.55,2313.15,2152
2023-11-01T12:11:00+05:30,2313.15,2313.4,2312.55,2313.0,2394
2023-11-01T12:12:00+05:30,2313.0,2313.4,2312.9,2313.0,2018
2023-11-01T12:13:00+05:30,2312.9,2313.2,2312.9,2312.9,4130
2023-11-01T12:14:00+05:30,2313.2,2313.2,2312.9,2312.9,4956
2023-11-01T12:15:00+05:30,2313.35,2316.5,2313.05,2315.9,32031
2023-11-01T12:16:00+05:30,2315.9,2316.35,2314.5,2315.0,18637
2023-11-01T12:17:00+05:30,2315.0,2315.0,2314.3,2314.9,3824
2023-11-01T12:18:00+05:30,2314.45,2314.9,2314.1,2314.65,1857
2023-11-01T12:19:00+05:30,2314.8,2315.5,2314.45,2315.5,4761
2023-11-01T12:20:00+05:30,2315.15,2315.9,2315.15,2315.2,3236
2023-11-01T12:21:00+05:30,2315.1,2315.9,2315.1,2315.85,4189
2023-11-01T12:22:00+05:30,2315.85,2316.3,2315.85,2315.85,5347
2023-11-01T12:23:00+05:30,2316.0,2316.5,2315.75,2316.25,8746
2023-11-01T12:24:00+05:30,2316.25,2317.5,2316.25,2317.3,9527
2023-11-01T12:25:00+05:30,2317.0,2317.5,2316.9,2316.9,5478
2023-11-01T12:26:00+05:30,2317.0,2317.5,2316.85,2316.85,8074
2023-11-01T12:27:00+05:30,2315.7,2317.0,2315.7,2316.15,6973
2023-11-01T12:28:00+05:30,2316.0,2316.05,2315.05,2315.1,8743
2023-11-01T12:29:00+05:30,2315.8,2315.8,2315.05,2315.75,6891
2023-11-01T12:30:00+05:30,2315.5,2315.5,2313.05,2313.5,11105
2023-11-01T12:31:00+05:30,2313.05,2313.6,2312.3,2312.7,7941
2023-11-01T12:32:00+05:30,2313.45,2313.45,2312.6,2313.15,3449
2023-11-01T12:33:00+05:30,2313.15,2313.8,2313.05,2313.8,3931
2023-11-01T12:34:00+05:30,2313.8,2314.0,2312.0,2313.35,6962
2023-11-01T12:35:00+05:30,2312.55,2313.55,2312.55,2312.6,2049
2023-11-01T12:36:00+05:30,2312.6,2313.0,2309.85,2310.75,33623
2023-11-01T12:37:00+05:30,2310.8,2310.85,2309.75,2310.25,8194
2023-11-01T12:38:00+05:30,2310.5,2311.45,2310.1,2310.75,8308
2023-11-01T12:39:00+05:30,2311.55,2311.75,2310.25,2310.95,13165
2023-11-01T12:40:00+05:30,2311.55,2311.75,2309.85,2310.0,7475
2023-11-01T12:41:00+05:30,2310.0,2310.25,2309.2,2309.9,6675
2023-11-01T12:42:00+05:30,2310.0,2311.15,2309.85,2311.15,7828
2023-11-01T12:43:00+05:30,2310.6,2311.65,2310.6,2311.4,6488
2023-11-01T12:44:00+05:30,2311.4,2312.0,2311.0,2311.5,5362
2023-11-01T12:45:00+05:30,2311.75,2311.8,2310.35,2310.55,7545
2023-11-01T12:46:00+05:30,2310.35,2310.95,2309.35,2310.55,12538
2023-11-01T12:47:00+05:30,2310.0,2311.1,2309.75,2311.1,4824
2023-11-01T12:48:00+05:30,2311.1,2311.2,2310.25,2310.25,4070
2023-11-01T12:49:00+05:30,2310.45,2310.85,2310.2,2310.35,5313
2023-11-01T12:50:00+05:30,2310.9,2311.5,2310.05,2310.8,6225
2023-11-01T12:51:00+05:30,2311.05,2311.1,2310.0,2310.45,13556
2023-11-01T12:52:00+05:30,2310.5,2310.5,2309.5,2309.8,14768
2023-11-01T12:53:00+05:30,2309.5,2310.0,2309.2,2310.0,10075
2023-11-01T12:54:00+05:30,2310.0,2310.5,2309.7,2310.0,9132
2023-11-01T12:55:00+05:30,2310.55,2310.55,2309.7,2309.7,8211
2023-11-01T12:56:00+05:30,2309.9,2310.0,2309.3,2310.0,7934
2023-11-01T12:57:00+05:30,2309.65,2310.25,2309.3,2309.85,6147
2023-11-01T12:58:00+05:30,2310.0,2310.0,2307.05,2307.05,25951
2023-11-01T12:59:00+05:30,2307.2,2308.55,2307.0,2307.55,7145
2023-11-01T13:00:00+05:30,2308.4,2308.4,2306.1,2307.25,13296
2023-11-01T13:01:00+05:30,2307.2,2307.2,2303.7,2304.75,21911
2023-11-01T13:02:00+05:30,2305.0,2306.0,2304.0,2305.7,6177
2023-11-01T13:03:00+05:30,2306.0,2309.45,2305.7,2309.0,16947
2023-11-01T13:04:00+05:30,2309.1,2309.6,2307.15,2307.7,9490
2023-11-01T13:05:00+05:30,2307.8,2309.0,2307.55,2308.1,8287
2023-11-01T13:06:00+05:30,2307.6,2308.0,2306.9,2307.5,9284
2023-11-01T13:07:00+05:30,2307.45,2307.5,2306.1,2306.6,5984
2023-11-01T13:08:00+05:30,2306.45,2307.2,2306.1,2306.1,10085
2023-11-01T13:09:00+05:30,2306.1,2306.1,2305.1,2305.4,9486
2023-11-01T13:10:00+05:30,2305.5,2306.65,2305.4,2306.1,5581
2023-11-01T13:11:00+05:30,2306.45,2306.6,2304.1,2305.25,34785
2023-11-01T13:12:00+05:30,2304.45,2304.65,2302.15,2303.3,18252
2023-11-01T13:13:00+05:30,2303.3,2304.1,2302.0,2303.6,11236
2023-11-01T13:14:00+05:30,2303.6,2304.4,2302.8,2303.65,3239
2023-11-01T13:15:00+05:30,2303.4,2303.45,2302.1,2302.8,9162
2023-11-01T13:16:00+05:30,2302.75,2302.75,2302.0,2302.2,12498
2023-11-01T13:17:00+05:30,2302.0,2302.7,2302.0,2302.55,4624
2023-11-01T13:18:00+05:30,2302.75,2303.95,2302.55,2303.9,5958
2023-11-01T13:19:00+05:30,2303.35,2305.35,2303.15,2305.35,7668
2023-11-01T13:20:00+05:30,2305.0,2305.85,2304.35,2305.05,7070
2023-11-01T13:21:00+05:30,2305.0,2305.0,2304.1,2304.7,17490
2023-11-01T13:22:00+05:30,2304.7,2304.7,2304.0,2304.0,3742
2023-11-01T13:23:00+05:30,2304.0,2304.3,2303.95,2304.05,7478
2023-11-01T13:24:00+05:30,2303.9,2304.0,2303.05,2304.0,3548
2023-11-01T13:25:00+05:30,2304.0,2304.15,2301.6,2301.7,6602
2023-11-01T13:26:00+05:30,2301.7,2302.95,2301.25,2301.95,8445
2023-11-01T13:27:00+05:30,2301.95,2303.25,2301.95,2303.05,7017
2023-11-01T13:28:00+05:30,2303.05,2304.3,2303.05,2303.75,8662
2023-11-01T13:29:00+05:30,2303.8,2304.2,2302.85,2303.7,4932
2023-11-01T13:30:00+05:30,2303.0,2304.75,2302.8,2304.45,4582
2023-11-01T13:31:00+05:30,2304.05,2304.7,2303.2,2304.0,5376
2023-11-01T13:32:00+05:30,2304.55,2304.95,2304.0,2304.85,4478
2023-11-01T13:33:00+05:30,2304.85,2304.9,2303.0,2303.0,8821
2023-11-01T13:34:00+05:30,2303.5,2305.0,2303.5,2304.8,4581
2023-11-01T13:35:00+05:30,2305.0,2305.45,2303.55,2305.15,17616
2023-11-01T13:36:00+05:30,2305.15,2305.5,2303.0,2304.85,20260
2023-11-01T13:37:00+05:30,2304.35,2305.5,2304.05,2304.75,4069
2023-11-01T13:38:00+05:30,2304.75,2305.85,2304.75,2305.0,7675
2023-11-01T13:39:00+05:30,2305.0,2305.55,2304.15,2304.85,3508
2023-11-01T13:40:00+05:30,2304.85,2304.95,2303.0,2303.0,5530
2023-11-01T13:41:00+05:30,2303.85,2304.25,2303.0,2304.25,4357
2023-11-01T13:42:00+05:30,2304.5,2305.0,2304.15,2304.75,6756
2023-11-01T13:43:00+05:30,2304.3,2305.95,2304.3,2305.95,6211
2023-11-01T13:44:00+05:30,2305.95,2307.0,2305.55,2306.9,7276
2023-11-01T13:45:00+05:30,2306.4,2307.8,2305.9,2306.85,11677
2023-11-01T13:46:00+05:30,2306.85,2307.95,2306.0,2307.95,5241
2023-11-01T13:47:00+05:30,2307.95,2308.0,2307.2,2308.0,6575
2023-11-01T13:48:00+05:30,2307.75,2307.95,2306.75,2307.95,10633
2023-11-01T13:49:00+05:30,2307.95,2307.95,2306.5,2307.8,6784
2023-11-01T13:50:00+05:30,2307.45,2307.8,2304.2,2304.5,33966
2023-11-01T13:51:00+05:30,2303.8,2305.0,2303.8,2305.0,4707
2023-11-01T13:52:00+05:30,2305.0,2306.15,2304.5,2304.5,16953
2023-11-01T13:53:00+05:30,2304.75,2306.45,2304.25,2306.0,20374
2023-11-01T13:54:00+05:30,2305.85,2305.85,2304.45,2304.45,14219
2023-11-01T13:55:00+05:30,2304.45,2305.0,2303.55,2304.3,6091
2023-11-01T13:56:00+05:30,2304.3,2304.95,2303.9,2304.9,2234
2023-11-01T13:57:00+05:30,2304.9,2307.0,2304.45,2307.0,15419
2023-11-01T13:58:00+05:30,2307.0,2307.0,2304.65,2305.35,9071
2023-11-01T13:59:00+05:30,2305.35,2306.0,2304.65,2306.0,4597
2023-11-01T14:00:00+05:30,2305.8,2306.0,2304.3,2304.8,6392
2023-11-01T14:01:00+05:30,2304.75,2305.0,2304.65,2305.0,6174
2023-11-01T14:02:00+05:30,2305.0,2305.0,2304.75,2304.85,4556
2023-11-01T14:03:00+05:30,2304.85,2305.0,2304.5,2305.0,2643
2023-11-01T14:04:00+05:30,2304.9,2305.0,2303.1,2303.8,9334
2023-11-01T14:05:00+05:30,2304.0,2304.6,2302.2,2302.65,7723
2023-11-01T14:06:00+05:30,2302.65,2303.8,2300.5,2300.8,27398
2023-11-01T14:07:00+05:30,2301.95,2303.15,2300.65,2302.0,20782
2023-11-01T14:08:00+05:30,2301.5,2302.85,2301.2,2302.8,5727
2023-11-01T14:09:00+05:30,2302.85,2304.8,2302.85,2303.95,5722
2023-11-01T14:10:00+05:30,2303.95,2304.7,2303.2,2303.95,5794
2023-11-01T14:11:00+05:30,2303.75,2304.25,2303.0,2304.25,5334
2023-11-01T14:12:00+05:30,2304.25,2304.25,2303.6,2304.15,7739
2023-11-01T14:13:00+05:30,2303.95,2303.95,2302.4,2302.7,6398
2023-11-01T14:14:00+05:30,2302.95,2304.0,2302.0,2304.0,7773
2023-11-01T14:15:00+05:30,2304.0,2304.95,2303.65,2304.65,4837
2023-11-01T14:16:00+05:30,2304.55,2305.0,2303.3,2304.0,9612
2023-11-01T14:17:00+05:30,2303.75,2303.85,2302.15,2303.85,5486
2023-11-01T14:18:00+05:30,2303.85,2304.75,2303.0,2303.6,14572
2023-11-01T14:19:00+05:30,2303.65,2304.95,2303.65,2304.4,7991
